study	n1	t_thr	avgAge	Age2	Age3	Adult_minus_ChildOld
Onur2011_olders	13	3.9296	69.6	4844.16	337153.536	0
Prakash2009_olders	25	1.7109	65.5	4290.25	281011.375	0
Puente2014_olders	26	1.7081	74	5476	405224	0
Zhu2010_olders	22	2.1656	74	5476	405224	0
Dash2019_olders	18	NA	73.94	5467.1236	404239.119	0
Rizio2017_olders	20	1.7291	67	4489	300763	0
Huang2012_olders	18	4.7144	66.1	4369.21	288804.781	0
Fernandez2019_olders	34	1.6924	72.7	5285.29	384240.583	0
Milham2002_olders	10	1.8331	68	4624	314432	0
Carp2012_children	18	2.8453	14	196	2744	0
