-54,6,28,6.9
-44,-32,48,12.75
32,0,68,6.46
-38,44,28,6.97
40,-2,58,5.67
-28,30,12,6.37
32,20,12,7.8
2,14,42,10.26
6,26,32,9.32
-4,-6,76,10.47
10,-6,70,6.07
-40,-46,40,7.07
54,-34,54,6.77
-58,-26,42,10.37
58,-38,42,5.56
58,-32,8,7.04
18,-80,26,6.6
18,-56,-8,15.22
-28,-76,28,6.19
26,8,8,7.87
-30,-54,-24,13.57
32,-56,-24,13.44
-48,6,36,10.22
46,8,32,5.16
-52,-18,16,6.62
-12,26,40,5.9
-24,-6,54,5.48
34,0,64,7.38
-48,22,38,6.89
-42,42,34,6.69
34,4,52,8.82
44,48,22,7.45
-48,6,26,6.14
54,8,24,5.75
-8,10,42,5.4
4,16,46,9.47
-4,8,52,8.7
4,16,46,9.47
-36,16,6,6.45
50,-38,56,11.88
-44,-54,-2,14.77
-46,-54,-16,7.38
50,-74,-6,5.56
-32,-46,-22,6.61
36,-68,-20,5.76
12,-32,-6,5.37
20,-94,30,5.8
-6,-54,-10,14.02
4,-54,-8,13.07
