22,-38,68,5.326
-34,54,10,5.2247
26,-64,6,4.5664
-32,-16,54,4.2051
62,-28,28,4.1441
-8,28,24,4.1441
-16,-58,0,4.1239
-60,-16,30,3.985
-2,16,52,3.7187
54,-54,-6,3.6271
-36,-34,10,3.573
-40,-70,2,3.4667
20,56,12,3.2778
12,-46,54,3.0321
50,36,-8,5.508
-50,-40,48,3.985
-4,-58,50,3.6818
-26,56,-2,3.3456
64,-32,36,3.261
42,-22,2,3.1288
50,-46,32,2.9062
-38,28,14,2.7836
-42,-24,0,2.6642
-14,-80,34,2.6642
40,20,44,2.519
4,-84,-6,2.42
42,-4,-18,2.42
-4,38,30,2.1743
-38,-52,28,4.1038
40,-16,-24,3.3627
-16,32,-4,3.3456
56,0,2,3.1126
-42,2,-8,3.0964
-50,-18,14,3.0964
-12,64,12,2.7685
62,-16,-12,2.7385
-2,-72,40,2.6056
-36,30,28,2.3643
-6,46,12,2.201
