study	n1	t_thr	avgAge	Age2	Age3	genhaoAge	sbuject	Adult_minus_ChildOlder	Child_minus_AdultOlder	Older_minus_AdultChild	Adult_Child	Adult_Older	Child_Older	filter_AdultChild	filter_AdultOlder	filter_ChildOlder	filter_Child	filter_Adult	filter_Old
Bush1998_adults	9	6.442	24.2	585.64	14172.488	4.91934955	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Sebastian2013a_adults	21	3.5518	24.24	587.5776	14242.88102	4.92341345	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Roberts2008_adults	16	3.09	24.3	590.49	14348.907	4.929503018	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Fan2003_adults	12	2.1743	24.7	610.09	15069.223	4.969909456	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Schulze2013_adults	8	3.4995	24.8	615.04	15252.992	4.979959839	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ullsperger2001_adults	12	4.0247	24.9	620.01	15438.249	4.98998998	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Kim2014_adults	18	7.5603	25.3	640.09	16194.277	5.029910536	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Zurawska2011_adults	18	3.6458	25.3	640.09	16194.277	5.029910536	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Wittfoth2006_adults	20	4.6619	25.5	650.25	16581.375	5.049752469	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Wittfoth2008_adults	15	3.9779	25.5	650.25	16581.375	5.049752469	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Christensen2011_adults	26	2.7874	25.9	670.81	17373.979	5.08920426	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Brass2005_adults	20	3.5794	26	676	17576	5.099019514	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Fan2007_adults	19	2.5524	26	676	17576	5.099019514	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Mead2002_adults	18	1.7396	26.7	712.89	19034.163	5.167204273	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Weiss2007_adults	8	1.8946	26.89	723.0721	19443.40877	5.185556865	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Bunge2002_adults	10	10.7202	27	729	19683	5.196152423	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Hazeltine2003_adults	10	10.7202	27	729	19683	5.196152423	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Fan2008_adults	16	2.6025	27.2	739.84	20123.648	5.215361924	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Harrison2005_adults	9	4.5008	27.4	750.76	20570.824	5.234500931	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Rubia2006_adults	23	3.1188	28	784	21952	5.291502622	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Lutcke2009_adults	12	4.0247	28	784	21952	5.291502622	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Zoccatelli2010_adults	10	6.2	28	784	21952	5.291502622	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Soeda2005_adults	11	4.9964	28.1	789.61	22188.041	5.300943312	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Cieslik2010_adults	24	1.7139	29	841	24389	5.385164807	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Sommer2008_adults	12	4.0247	29.1	846.81	24642.171	5.394441584	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Bush2003_adults	8	NA	30	900	27000	5.477225575	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Nakao2005_adults	14	3.852	30.2	912.04	27543.608	5.495452666	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Sebastian2012_adults	24	4.61	30.3	918.09	27818.127	5.504543578	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ivanov2012_adults	16	2.9812	30.63	938.1969	28736.97105	5.534437641	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Verstynen2014_adults	30	3.61	31	961	29791	5.567764363	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Georgiou-Karistianis2012_adults	13	2.681	33.7	1135.69	38272.753	5.805170109	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Page2009_adults	11	1.8125	34.1	1162.81	39651.821	5.839520528	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Barros-Loscertales2011_adults	16	3.7328	34.2	1169.64	40001.688	5.848076607	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Carter1995_adults	15	2.9768	34.3	1176.49	40353.607	5.856620186	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Rahm2014_adults	11	2.7638	34.9	1218.01	42508.549	5.907622195	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Kerns2005_adults	13	3.0545	35.6	1267.36	45118.016	5.966573556	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Polosan2011_adults	14	3.95	35.9	1288.81	46268.279	5.991660872	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Coderre2008_adults	9	2.917	36	1296	46656	6	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Pompei2011_adults	48	2.6846	36.33	1319.8689	47950.83714	6.027437266	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Balodis2013_adults	35	4.29	38.4	1474.56	56623.104	6.196773354	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
George1994_adults	21	2.528	38.4	1474.56	56623.104	6.196773354	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Matthews2004_adults	18	1.7396	39	1521	59319	6.244997998	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Carp2012_adults	21	2.8453	39.8	1584.04	63044.792	6.308724118	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Sebastian2013b_adults	49	3.2689	39.96	1596.8016	63808.19194	6.321392252	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Sheu2012_adults	138	5.17	40	1600	64000	6.32455532	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ravnkilde2002_adults	46	5.63	41	1681	68921	6.403124237	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Zysset2007_adults	47	3.2771	42	1764	74088	6.480740698	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Kozasa2012_adults	19	1.9734	43.8	1918.44	84027.672	6.618156843	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Chuang2014_olders	60	2.3912	64.6	4173.16	269586.136	8.037412519	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Gianaros2007_olders	46	NA	68.04	4629.4416	314987.2065	8.248636251	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Gordon2015_olders	71	1.6669	63.5	4032.25	256047.875	7.968688725	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Korsch2014_olders	19	3.6105	70.26	4936.4676	346836.2136	8.382123836	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Laeng2011_olders	10	1.8331	53.8	2894.44	155720.872	7.334848328	older	1	-1	1	0	-1	-1	0	1	1	0	0	1
Mathis2009_olders	12	4.0247	62.8	3943.84	247673.152	7.924645102	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Nagamatsu2011_olders	73	1.6663	73	5329	389017	8.544003745	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Onur2011_olders	13	3.9296	69.6	4844.16	337153.536	8.342661446	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Prakash2009_olders	25	1.7109	65.5	4290.25	281011.375	8.093207028	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Puente2014_olders	26	1.7081	74	5476	405224	8.602325267	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Zhu2010_olders	22	2.1656	74	5476	405224	8.602325267	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Dash2019_olders	18	NA	73.94	5467.1236	404239.119	8.598837131	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Rizio2017_olders	20	1.7291	67	4489	300763	8.185352772	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Huang2012_olders	18	4.7144	66.1	4369.21	288804.781	8.13019065	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Fernandez2019_olders	34	1.6924	72.7	5285.29	384240.583	8.526429499	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Milham2002_olders	10	1.8331	68	4624	314432	8.246211251	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
Carp2012_children	18	2.8453	14	196	2744	3.741657387	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Adleman2002_adults	11	1.8125	19.98	399.2004	7976.023992	4.469899328	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
DeVito2012_adults	12	4.0247	31	961	29791	5.567764363	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Durston2003_adults	9	5.6174	25.7	660.49	16974.593	5.069516742	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Kaufmann2006_children	17	1.7459	9.6	92.16	884.736	3.098386677	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Mathis2009_adults	12	4.0247	26.8	718.24	19248.832	5.176871642	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Mathis2009_middleolders	12	4.0247	51.7	2672.89	138188.413	7.190271205	older	1	-1	1	0	-1	-1	0	1	1	0	0	1
Schmidt2012_adults	31	3.3852	24.125	582.015625	14041.12695	4.911720676	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Vaidya2005_children	10	4.2968	9.2	84.64	778.688	3.033150178	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Wang2009_children_g1	15	1.7613	15	225	3375	3.872983346	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Wang2009_children_g2	18	1.7396	14.8	219.04	3241.792	3.847076812	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Won2019_olders	32	1.6955	66.2	4382.44	290117.528	8.136338243	older	-1	-1	1	0	-1	-1	0	1	1	0	0	1
chenqi2022_adults	41	1.6839	21.29	453.2641	9649.992689	4.614108798	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
cuilong2011_adults_g1	10	3.2498	21	441	9261	4.582575695	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
cuilong2011_adults_g2	10	3.2498	22.4	501.76	11239.424	4.732863826	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
moubochuan2018_adults	37	1.6883	21.4	457.96	9800.344	4.626013402	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
qianqiaoyun2020_adults	17	1.7459	25	625	15625	5	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
