rmins,rmeans
0.9031332,0.9976166
0.9339362,0.9948194
0.7822401,0.9884024
0.8844130,0.9882321
0.7348481,0.9675579
0.9525495,0.9971373
0.2463348,0.5611126
0.7001519,0.8774186
