rmins,rmeans
0.9334031,0.9989865
0.8541979,0.9976786
0.9408606,0.9945787
0.7463577,0.9884586
0.8961119,0.9881220
0.7927489,0.9680660
0.9456796,0.9969288
0.2656161,0.5744253
0.7703299,0.8779818
