map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.245752	NA	NA
Hedges' <i>g</i>	0.150240	0.002412	3.059274
uncorrp	0.998891	NA	NA
uncorrp_neg	0.001109	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.002863	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.070293	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	6.567607	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	98.111237	NA	-0.855776
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.283104	0.032620	NA
Andrews-Hanna2011_children_I00001	0.229486	0.032150	NA
Andrews-Hanna2011_children_I00002	0.237503	0.032214	NA
Andrews-Hanna2011_children_I00003	0.290419	0.032691	NA
Andrews-Hanna2011_children_I00004	-0.132489	0.031550	NA
Andrews-Hanna2011_children_I00005	-0.074330	0.031344	NA
Andrews-Hanna2011_children_I00006	-0.067360	0.031328	NA
Andrews-Hanna2011_children_I00007	0.249601	0.032315	NA
Andrews-Hanna2011_children_I00008	-0.069116	0.031332	NA
Andrews-Hanna2011_children_I00009	0.258854	0.032395	NA
Andrews-Hanna2011_children_I00010	-0.082073	0.031365	NA
Andrews-Hanna2011_children_I00011	0.249394	0.032313	NA
Andrews-Hanna2011_children_I00012	0.277499	0.032566	NA
Andrews-Hanna2011_children_I00013	0.238963	0.032226	NA
Andrews-Hanna2011_children_I00014	-0.041638	0.031280	NA
Andrews-Hanna2011_children_I00015	-0.097761	0.031413	NA
Andrews-Hanna2011_children_I00016	0.257764	0.032386	NA
Andrews-Hanna2011_children_I00017	0.248959	0.032309	NA
Andrews-Hanna2011_children_I00018	0.263966	0.032441	NA
Andrews-Hanna2011_children_I00019	0.300279	0.032791	NA
Andrews-Hanna2011_children_I00020	0.239734	0.032232	NA
Andrews-Hanna2011_children_I00021	-0.065720	0.031324	NA
Andrews-Hanna2011_children_I00022	0.273671	0.032530	NA
Andrews-Hanna2011_children_I00023	-0.081807	0.031364	NA
Andrews-Hanna2011_children_I00024	-0.039215	0.031276	NA
Andrews-Hanna2011_children_I00025	0.246985	0.032293	NA
Andrews-Hanna2011_children_I00026	-0.087834	0.031382	NA
Andrews-Hanna2011_children_I00027	-0.062550	0.031317	NA
Andrews-Hanna2011_children_I00028	0.306270	0.032853	NA
Andrews-Hanna2011_children_I00029	0.257675	0.032385	NA
Andrews-Hanna2011_children_I00030	0.272094	0.032515	NA
Andrews-Hanna2011_children_I00031	0.261361	0.032417	NA
