map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.158103	NA	NA
Hedges' <i>g</i>	0.153304	0.002395	3.132607
uncorrp	0.999134	NA	NA
uncorrp_neg	0.000866	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.000066	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.001619	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	0.161654	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	80.575531	NA	-2.219672
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
deKieviet2014_children_I00044	0.197021	0.021715	NA
deKieviet2014_children_I00045	0.168417	0.021597	NA
deKieviet2014_children_I00046	-0.094128	0.021377	NA
deKieviet2014_children_I00047	0.181464	0.021649	NA
deKieviet2014_children_I00048	-0.080805	0.021350	NA
deKieviet2014_children_I00049	-0.063828	0.021323	NA
Fan2014_children_I00000	0.192985	0.044397	NA
Fan2014_children_I00001	-0.157655	0.044092	NA
Fan2014_children_I00002	-0.126510	0.043873	NA
Fan2014_children_I00003	0.169955	0.044191	NA
Fan2014_children_I00004	0.193020	0.044398	NA
Fan2014_children_I00005	-0.136002	0.043935	NA
Fan2014_children_I00006	-0.128885	0.043888	NA
Fan2014_children_I00007	-0.135089	0.043929	NA
Fan2014_children_I00008	-0.138962	0.043955	NA
Fan2014_children_I00009	0.185088	0.044324	NA
Fan2014_children_I00010	-0.139660	0.043960	NA
Fan2014_children_I00011	0.181834	0.044294	NA
Fan2014_children_I00012	-0.157171	0.044088	NA
Fan2014_children_I00013	-0.133810	0.043920	NA
Fan2014_children_I00014	-0.146314	0.044007	NA
Fan2014_children_I00015	0.195284	0.044419	NA
Fan2014_children_I00016	0.163281	0.044136	NA
Fan2014_children_I00017	0.210834	0.044575	NA
Fan2014_children_I00018	-0.164191	0.044144	NA
Fan2014_children_I00019	-0.140951	0.043969	NA
Fan2014_children_I00020	-0.165698	0.044156	NA
Fan2014_children_I00021	0.171646	0.044205	NA
Fan2014_children_I00022	0.169228	0.044185	NA
Fan2014_children_I00023	-0.141957	0.043976	NA
Fan2014_children_I00024	-0.145081	0.043998	NA
Fan2014_children_I00025	-0.122604	0.043849	NA
Fan2014_children_I00026	0.171838	0.044207	NA
Fan2014_children_I00027	-0.130090	0.043896	NA
Fan2014_children_I00028	0.182793	0.044303	NA
Fan2014_children_I00029	-0.146828	0.044010	NA
Fan2014_children_I00030	0.192708	0.044395	NA
Fan2014_children_I00031	-0.151764	0.044047	NA
Fan2014_children_I00032	-0.148565	0.044023	NA
Fan2014_children_I00033	-0.140445	0.043965	NA
Fan2014_children_I00034	0.182598	0.044301	NA
Fan2014_children_I00035	0.153757	0.044062	NA
Fan2014_children_I00036	0.177047	0.044252	NA
Fan2014_children_I00037	-0.156040	0.044079	NA
Fan2014_children_I00038	0.201782	0.044483	NA
Fan2014_children_I00039	-0.136646	0.043939	NA
Fan2014_children_I00040	-0.155692	0.044077	NA
Fan2014_children_I00041	0.170755	0.044198	NA
Fan2014_children_I00042	0.166127	0.044159	NA
Fan2014_children_I00043	-0.139006	0.043955	NA
Fan2014_children_I00044	-0.152929	0.044055	NA
Fan2014_children_I00045	0.186864	0.044340	NA
Fan2014_children_I00046	0.194100	0.044408	NA
Fan2014_children_I00047	0.203769	0.044503	NA
Fan2014_children_I00048	0.170971	0.044200	NA
Fan2014_children_I00049	0.169996	0.044192	NA
Hansen2018_children_I00000	-0.041292	0.005853	NA
Hansen2018_children_I00001	-0.030165	0.005851	NA
Hansen2018_children_I00002	-0.032672	0.005851	NA
Hansen2018_children_I00003	0.116955	0.005888	NA
Hansen2018_children_I00004	-0.027209	0.005850	NA
Hansen2018_children_I00005	0.112175	0.005885	NA
Hansen2018_children_I00006	0.103176	0.005879	NA
Hansen2018_children_I00007	-0.020445	0.005849	NA
Hansen2018_children_I00008	0.099116	0.005877	NA
Hansen2018_children_I00009	-0.042149	0.005853	NA
Hansen2018_children_I00010	0.113825	0.005886	NA
Hansen2018_children_I00011	0.109913	0.005884	NA
Hansen2018_children_I00012	0.117658	0.005889	NA
Hansen2018_children_I00013	-0.020418	0.005849	NA
Hansen2018_children_I00014	0.097473	0.005876	NA
Hansen2018_children_I00015	0.119406	0.005890	NA
Hansen2018_children_I00016	0.104591	0.005880	NA
Hansen2018_children_I00017	0.120375	0.005891	NA
Hansen2018_children_I00018	0.130275	0.005898	NA
Hansen2018_children_I00019	0.109212	0.005883	NA
Hansen2018_children_I00020	-0.016943	0.005849	NA
Hansen2018_children_I00021	-0.041759	0.005853	NA
Hansen2018_children_I00022	-0.030600	0.005851	NA
Hansen2018_children_I00023	0.099059	0.005877	NA
Hansen2018_children_I00024	-0.040792	0.005853	NA
Hansen2018_children_I00025	0.109760	0.005884	NA
Hansen2018_children_I00026	0.130620	0.005898	NA
Hansen2018_children_I00027	0.109804	0.005884	NA
Hansen2018_children_I00028	0.104220	0.005880	NA
Hansen2018_children_I00029	0.104880	0.005880	NA
Hansen2018_children_I00030	0.088417	0.005871	NA
Hansen2018_children_I00031	-0.027795	0.005850	NA
Hansen2018_children_I00032	0.101998	0.005879	NA
Hansen2018_children_I00033	0.113479	0.005886	NA
Hansen2018_children_I00034	0.118856	0.005890	NA
Hansen2018_children_I00035	0.131014	0.005899	NA
Hansen2018_children_I00036	0.115262	0.005887	NA
Hansen2018_children_I00037	0.120651	0.005891	NA
Hansen2018_children_I00038	0.114381	0.005887	NA
Hansen2018_children_I00039	-0.028329	0.005850	NA
Hansen2018_children_I00040	0.102859	0.005879	NA
Hansen2018_children_I00041	0.116010	0.005888	NA
Hansen2018_children_I00042	-0.031476	0.005851	NA
Hansen2018_children_I00043	0.112627	0.005885	NA
Hansen2018_children_I00044	0.096683	0.005876	NA
Hansen2018_children_I00045	-0.037381	0.005852	NA
Hansen2018_children_I00046	-0.033629	0.005851	NA
Hansen2018_children_I00047	0.116631	0.005888	NA
Hansen2018_children_I00048	0.115832	0.005888	NA
Hansen2018_children_I00049	-0.033278	0.005851	NA
Mincic2010_children_I00000	-0.108088	0.028753	NA
Mincic2010_children_I00001	0.151692	0.028928	NA
Mincic2010_children_I00002	-0.104361	0.028740	NA
Mincic2010_children_I00003	0.151825	0.028929	NA
Mincic2010_children_I00004	0.145267	0.028899	NA
