map	estimate	variance	sdm_z
deKieviet2014_children_I00046	0.297259	0.022275	NA
deKieviet2014_children_I00047	-0.050775	0.021306	NA
deKieviet2014_children_I00048	0.285991	0.022200	NA
deKieviet2014_children_I00049	0.232732	0.021888	NA
Fan2014_children_I00000	-0.087487	0.043667	NA
Fan2014_children_I00001	0.196722	0.044433	NA
Fan2014_children_I00002	0.215782	0.044627	NA
Fan2014_children_I00003	-0.104767	0.043749	NA
Fan2014_children_I00004	0.231524	0.044801	NA
Fan2014_children_I00005	0.210582	0.044573	NA
Fan2014_children_I00006	0.200183	0.044467	NA
Fan2014_children_I00007	0.230367	0.044788	NA
Fan2014_children_I00008	-0.088455	0.043671	NA
Fan2014_children_I00009	0.213422	0.044602	NA
Fan2014_children_I00010	0.194788	0.044415	NA
Fan2014_children_I00011	-0.099264	0.043721	NA
Fan2014_children_I00012	-0.113230	0.043795	NA
Fan2014_children_I00013	0.228370	0.044765	NA
Fan2014_children_I00014	0.219450	0.044667	NA
Fan2014_children_I00015	0.224544	0.044723	NA
Fan2014_children_I00016	0.202761	0.044493	NA
Fan2014_children_I00017	-0.102255	0.043736	NA
Fan2014_children_I00018	-0.112241	0.043789	NA
Fan2014_children_I00019	-0.108396	0.043768	NA
Fan2014_children_I00020	-0.099130	0.043721	NA
Fan2014_children_I00021	0.240952	0.044911	NA
Fan2014_children_I00022	0.220575	0.044679	NA
Fan2014_children_I00023	0.227401	0.044755	NA
Fan2014_children_I00024	0.212556	0.044593	NA
Fan2014_children_I00025	-0.082417	0.043646	NA
Fan2014_children_I00026	0.207438	0.044540	NA
Fan2014_children_I00027	0.198784	0.044454	NA
Fan2014_children_I00028	-0.097997	0.043715	NA
Fan2014_children_I00029	0.227110	0.044751	NA
Fan2014_children_I00030	0.208515	0.044551	NA
Fan2014_children_I00031	0.222975	0.044705	NA
Fan2014_children_I00032	-0.111129	0.043783	NA
Fan2014_children_I00033	0.192209	0.044390	NA
Fan2014_children_I00034	0.220785	0.044681	NA
Fan2014_children_I00035	0.204405	0.044509	NA
Fan2014_children_I00036	0.222665	0.044702	NA
Fan2014_children_I00037	-0.109620	0.043775	NA
Fan2014_children_I00038	0.229022	0.044773	NA
Fan2014_children_I00039	0.234822	0.044839	NA
Fan2014_children_I00040	0.235860	0.044851	NA
Fan2014_children_I00041	0.218194	0.044653	NA
Fan2014_children_I00042	0.207980	0.044546	NA
Fan2014_children_I00043	0.214997	0.044619	NA
Fan2014_children_I00044	0.209296	0.044559	NA
Fan2014_children_I00045	0.222058	0.044695	NA
Fan2014_children_I00046	-0.117803	0.043821	NA
Fan2014_children_I00047	0.238733	0.044885	NA
Fan2014_children_I00048	-0.115644	0.043808	NA
Fan2014_children_I00049	-0.113197	0.043795	NA
Hansen2018_children_I00000	0.177833	0.005941	NA
Hansen2018_children_I00001	0.178018	0.005942	NA
Hansen2018_children_I00002	0.163567	0.005927	NA
Hansen2018_children_I00003	0.012578	0.005848	NA
Hansen2018_children_I00004	0.001366	0.005848	NA
Hansen2018_children_I00005	0.171055	0.005934	NA
Hansen2018_children_I00006	0.176976	0.005941	NA
Hansen2018_children_I00007	0.167536	0.005931	NA
Hansen2018_children_I00008	0.171308	0.005935	NA
Hansen2018_children_I00009	0.172872	0.005936	NA
Hansen2018_children_I00010	0.176961	0.005941	NA
Hansen2018_children_I00011	0.160792	0.005924	NA
Hansen2018_children_I00012	0.153473	0.005918	NA
Hansen2018_children_I00013	0.160738	0.005924	NA
Hansen2018_children_I00014	0.159244	0.005923	NA
Hansen2018_children_I00015	0.189964	0.005955	NA
Hansen2018_children_I00016	0.012013	0.005848	NA
Hansen2018_children_I00017	0.169088	0.005932	NA
Hansen2018_children_I00018	0.168212	0.005932	NA
Hansen2018_children_I00019	0.001390	0.005848	NA
Hansen2018_children_I00020	0.167458	0.005931	NA
Hansen2018_children_I00021	0.166895	0.005930	NA
Hansen2018_children_I00022	0.171235	0.005935	NA
Hansen2018_children_I00023	0.167210	0.005931	NA
Hansen2018_children_I00024	0.005239	0.005848	NA
Hansen2018_children_I00025	0.177252	0.005941	NA
Hansen2018_children_I00026	-0.014338	0.005849	NA
Hansen2018_children_I00027	0.174367	0.005938	NA
Hansen2018_children_I00028	0.183068	0.005947	NA
Hansen2018_children_I00029	0.171532	0.005935	NA
Hansen2018_children_I00030	0.171771	0.005935	NA
Hansen2018_children_I00031	0.180274	0.005944	NA
Hansen2018_children_I00032	0.172039	0.005935	NA
Hansen2018_children_I00033	0.176158	0.005940	NA
Hansen2018_children_I00034	0.163426	0.005927	NA
Hansen2018_children_I00035	-0.007533	0.005848	NA
Hansen2018_children_I00036	0.180054	0.005944	NA
Hansen2018_children_I00037	0.177958	0.005942	NA
Hansen2018_children_I00038	0.162445	0.005926	NA
Hansen2018_children_I00039	0.178564	0.005942	NA
Hansen2018_children_I00040	0.173063	0.005936	NA
Hansen2018_children_I00041	0.170488	0.005934	NA
Hansen2018_children_I00042	0.161118	0.005925	NA
Hansen2018_children_I00043	0.008997	0.005848	NA
Hansen2018_children_I00044	0.169293	0.005933	NA
Hansen2018_children_I00045	0.165845	0.005929	NA
Hansen2018_children_I00046	0.003036	0.005848	NA
Hansen2018_children_I00047	0.181050	0.005945	NA
Hansen2018_children_I00048	-0.002991	0.005848	NA
Hansen2018_children_I00049	0.174786	0.005938	NA
Mincic2010_children_I00000	-0.084161	0.028681	NA
Mincic2010_children_I00001	0.173088	0.029036	NA
Mincic2010_children_I00002	-0.071495	0.028651	NA
Mincic2010_children_I00003	0.177310	0.029059	NA
Mincic2010_children_I00004	0.171220	0.029026	NA
Mincic2010_children_I00005	-0.063409	0.028634	NA
Mincic2010_children_I00006	0.195213	0.029162	NA
Mincic2010_children_I00007	0.176866	0.029056	NA
Mincic2010_children_I00008	-0.068623	0.028644	NA
Mincic2010_children_I00009	0.194510	0.029158	NA
Mincic2010_children_I00010	-0.084798	0.028683	NA
Mincic2010_children_I00011	-0.067402	0.028642	NA
Mincic2010_children_I00012	0.194721	0.029159	NA
Mincic2010_children_I00013	0.183498	0.029093	NA
Mincic2010_children_I00014	0.181915	0.029084	NA
Mincic2010_children_I00015	0.180442	0.029076	NA
Mincic2010_children_I00016	-0.067138	0.028641	NA
Mincic2010_children_I00017	0.194142	0.029156	NA
Mincic2010_children_I00018	0.195540	0.029164	NA
Mincic2010_children_I00019	0.196467	0.029170	NA
Mincic2010_children_I00020	0.175728	0.029050	NA
Mincic2010_children_I00021	-0.069499	0.028646	NA
Mincic2010_children_I00022	0.190224	0.029132	NA
Mincic2010_children_I00023	-0.072496	0.028653	NA
Mincic2010_children_I00024	0.179652	0.029072	NA
Mincic2010_children_I00025	0.202420	0.029207	NA
Mincic2010_children_I00026	-0.063588	0.028634	NA
Mincic2010_children_I00027	0.193179	0.029150	NA
Mincic2010_children_I00028	-0.063079	0.028633	NA
Mincic2010_children_I00029	-0.085677	0.028685	NA
Mincic2010_children_I00030	0.196953	0.029173	NA
Mincic2010_children_I00031	-0.064094	0.028635	NA
