0.367,0.082,0.120,0.430,   NA
0.349,0.086,0.136,0.428,   NA
0.326,0.079,0.184,0.410,   NA
0.241,0.082,0.272,0.404,   NA
0.278,0.097,0.221,0.404,   NA
0.401,0.058,0.180,0.361,   NA
0.365,0.067,0.179,0.389,   NA
0.354,0.058,0.224,0.364,   NA
0.390,0.073,0.126,0.412,   NA
0.331,0.059,0.233,0.376,   NA
