-24,-92,-4,6.48
-50,-64,-16,7.55
-34,-72,-24,11.29
-35,-56,46,7.98
24,-96,-2,5.46
-4,-72,54,10.34
42,4,52,5.89
-36,54,18,5.65
-6,16,46,9.05
42,10,26,6.83
34,24,2,8.09
-32,26,-4,10.42
-12,-16,6,7.8
-60,-46,6,6.36
0,48,-16,-8.46
-6,64,8,-5.68
-14,52,40,-6.24
-12,8,-10,-7
14,10,-8,-7.19
-38,-20,14,-5.41
38,-18,16,-5.17
-48,0,-34,-8.4
-48,-74,36,-8.17
54,-68,34,-6.72
-30,-92,-10,7.96
-48,-66,-16,9.5
-32,-52,42,10.89
-8,-74,50,10.36
-4,-78,-22,10.47
44,8,26,9.07
-44,6,28,11.62
-6,14,46,11.62
-32,20,4,8.23
34,24,0,8.04
-12,-16,6,9.35
8,-14,6,7.51
-2,46,-16,-11.56
0,22,-10,-8.4
16,8,-10,-8.67
-24,32,48,-9.53
20,40,50,-7.48
-4,-38,34,-10.55
-22,-20,-24,-9.73
-18,-8,-24,-6.59
26,-16,-22,-8.14
24,-10,-20,-6.01
-38,-18,18,-10.38
40,-16,16,-9.71
-48,0,-34,-8.4
-46,-72,36,-12.45
