-6,14,49,21.79
-27,-7,55,19.77
27,-4,52,18.59
-45,-37,49,21.41
-39,-85,-2,20.51
-30,-91,-2,20.03
33,20,7,15.9
-9,-19,13,15.69
9,-19,10,13.67
-30,17,10,14.07
-30,23,4,13.75
-24,5,10,6.99
-27,-70,-47,9.95
-33,-52,-50,6.75
39,38,28,9.06
-3,8,25,7.48
-30,-88,1,21.1
-36,-82,-5,20.7
-21,-64,49,19.39
33,-88,-2,20
39,-82,-5,19.93
42,-64,-8,18.15
-6,14,46,18.07
-24,-4,58,16.95
-45,2,34,13.99
-27,20,10,13.35
-12,-16,13,13.35
36,17,10,12.21
-6,-25,-8,11.8
48,5,31,11.52
6,-73,-17,10.75
-3,-73,-26,10.25
0,-55,-29,9.79
-27,-4,55,14.68
-6,11,49,12.52
9,17,43,11.27
-39,-67,-5,14.3
-30,-91,4,13.5
-42,-37,43,13.12
36,-85,10,12.87
33,-88,-2,12.79
39,-76,-2,12.77
-27,17,7,11.92
27,-1,55,11.73
33,17,7,11.07
-12,-19,16,9.63
-18,-7,25,8.47
-30,-34,4,7.72
-45,2,31,9.39
-6,-22,-8,9.38
9,-22,-11,8.65
-3,-31,-17,7.03
48,8,31,9.2
-24,-67,-44,8.18
27,-34,10,8.05
21,-22,16,7.44
15,-13,13,7.27
-30,-88,-2,18.61
-24,-64,49,17.01
-42,-37,43,16.52
30,-91,-2,18.43
36,-85,7,18
27,-58,52,16.84
-3,11,49,16.65
-27,-4,58,15.15
-42,2,31,12.93
-27,20,7,12.11
51,8,31,10.79
36,17,7,10.42
24,11,7,8.44
-9,-19,10,9.51
-18,-7,25,8.23
-24,-34,10,6.54
15,-13,13,8.39
24,-31,16,7.59
21,-4,22,7.34
-3,-28,-11,7.68
6,-25,-8,7.42
-45,32,28,7.41
