map	estimate	variance	sdm_z
deKieviet2014_children_I00045	0.256095	0.022017	NA
deKieviet2014_children_I00046	0.246228	0.021961	NA
deKieviet2014_children_I00047	-0.052727	0.021308	NA
deKieviet2014_children_I00048	-0.026153	0.021284	NA
deKieviet2014_children_I00049	0.233306	0.021891	NA
Fan2014_children_I00000	-0.109863	0.043776	NA
Fan2014_children_I00001	0.182065	0.044296	NA
Fan2014_children_I00002	0.212521	0.044593	NA
Fan2014_children_I00003	0.217893	0.044650	NA
Fan2014_children_I00004	-0.103381	0.043742	NA
Fan2014_children_I00005	-0.102686	0.043739	NA
Fan2014_children_I00006	0.193147	0.044399	NA
Fan2014_children_I00007	0.192331	0.044391	NA
Fan2014_children_I00008	-0.109557	0.043775	NA
Fan2014_children_I00009	-0.126899	0.043876	NA
Fan2014_children_I00010	0.221910	0.044694	NA
Fan2014_children_I00011	0.206727	0.044533	NA
Fan2014_children_I00012	0.223905	0.044716	NA
Fan2014_children_I00013	0.206470	0.044530	NA
Fan2014_children_I00014	0.215085	0.044620	NA
Fan2014_children_I00015	0.219881	0.044672	NA
Fan2014_children_I00016	-0.105439	0.043753	NA
Fan2014_children_I00017	0.204330	0.044509	NA
Fan2014_children_I00018	0.193275	0.044400	NA
Fan2014_children_I00019	0.218927	0.044661	NA
Fan2014_children_I00020	-0.113178	0.043794	NA
Fan2014_children_I00021	0.211169	0.044579	NA
Fan2014_children_I00022	-0.130209	0.043897	NA
Fan2014_children_I00023	-0.112722	0.043792	NA
Fan2014_children_I00024	-0.113271	0.043795	NA
Fan2014_children_I00025	0.215325	0.044623	NA
Fan2014_children_I00026	-0.119652	0.043832	NA
Fan2014_children_I00027	0.208652	0.044553	NA
Fan2014_children_I00028	0.214102	0.044610	NA
Fan2014_children_I00029	0.210744	0.044574	NA
Fan2014_children_I00030	0.214145	0.044610	NA
Fan2014_children_I00031	0.203494	0.044500	NA
Fan2014_children_I00032	0.218725	0.044659	NA
Fan2014_children_I00033	-0.111778	0.043787	NA
Fan2014_children_I00034	-0.099286	0.043722	NA
Fan2014_children_I00035	-0.110370	0.043779	NA
Fan2014_children_I00036	0.200210	0.044468	NA
Fan2014_children_I00037	0.198383	0.044450	NA
Fan2014_children_I00038	-0.097789	0.043714	NA
Fan2014_children_I00039	0.214956	0.044619	NA
Fan2014_children_I00040	0.214699	0.044616	NA
Fan2014_children_I00041	-0.115223	0.043806	NA
Fan2014_children_I00042	0.203624	0.044502	NA
Fan2014_children_I00043	-0.102508	0.043738	NA
Fan2014_children_I00044	-0.126994	0.043876	NA
Fan2014_children_I00045	-0.098940	0.043720	NA
Fan2014_children_I00046	0.193511	0.044402	NA
Fan2014_children_I00047	-0.102599	0.043738	NA
Fan2014_children_I00048	0.197805	0.044444	NA
Fan2014_children_I00049	0.211663	0.044584	NA
Hansen2018_children_I00000	0.177347	0.005941	NA
Hansen2018_children_I00001	0.171480	0.005935	NA
