map	estimate	variance	sdm_z
deKieviet2014_children_I00045	0.307244	0.022343	NA
deKieviet2014_children_I00046	-0.063308	0.021322	NA
deKieviet2014_children_I00047	0.320580	0.022437	NA
deKieviet2014_children_I00048	-0.039167	0.021294	NA
deKieviet2014_children_I00049	-0.026295	0.021284	NA
Fan2014_children_I00000	0.224180	0.044719	NA
Fan2014_children_I00001	0.229712	0.044781	NA
Fan2014_children_I00002	0.221483	0.044689	NA
Fan2014_children_I00003	-0.102123	0.043736	NA
Fan2014_children_I00004	0.212680	0.044595	NA
Fan2014_children_I00005	0.228825	0.044771	NA
Fan2014_children_I00006	0.239573	0.044895	NA
Fan2014_children_I00007	0.234631	0.044837	NA
Fan2014_children_I00008	0.217007	0.044641	NA
Fan2014_children_I00009	-0.102364	0.043737	NA
Fan2014_children_I00010	0.235376	0.044846	NA
Fan2014_children_I00011	0.209085	0.044557	NA
Fan2014_children_I00012	0.221150	0.044685	NA
Fan2014_children_I00013	0.246314	0.044976	NA
Fan2014_children_I00014	0.231363	0.044799	NA
Fan2014_children_I00015	0.238719	0.044885	NA
Fan2014_children_I00016	0.233151	0.044820	NA
Fan2014_children_I00017	0.213128	0.044599	NA
Fan2014_children_I00018	0.225915	0.044738	NA
Fan2014_children_I00019	0.230743	0.044792	NA
Fan2014_children_I00020	0.224504	0.044722	NA
Fan2014_children_I00021	0.203852	0.044504	NA
Fan2014_children_I00022	0.221100	0.044685	NA
Fan2014_children_I00023	-0.095744	0.043705	NA
Fan2014_children_I00024	0.216510	0.044635	NA
Fan2014_children_I00025	0.216217	0.044632	NA
Fan2014_children_I00026	0.230353	0.044788	NA
Fan2014_children_I00027	-0.087562	0.043667	NA
Fan2014_children_I00028	0.234052	0.044830	NA
Fan2014_children_I00029	0.214954	0.044619	NA
Fan2014_children_I00030	0.215823	0.044628	NA
Fan2014_children_I00031	0.204850	0.044514	NA
Fan2014_children_I00032	0.235402	0.044846	NA
Fan2014_children_I00033	-0.092173	0.043688	NA
Fan2014_children_I00034	0.208030	0.044546	NA
Fan2014_children_I00035	0.221829	0.044693	NA
Fan2014_children_I00036	0.219376	0.044666	NA
Fan2014_children_I00037	0.221357	0.044688	NA
Fan2014_children_I00038	0.225734	0.044736	NA
Fan2014_children_I00039	0.238945	0.044887	NA
Fan2014_children_I00040	0.225626	0.044735	NA
Fan2014_children_I00041	0.232828	0.044816	NA
Fan2014_children_I00042	-0.093611	0.043695	NA
Fan2014_children_I00043	-0.104039	0.043745	NA
Fan2014_children_I00044	0.234978	0.044841	NA
Fan2014_children_I00045	0.209211	0.044559	NA
Fan2014_children_I00046	0.218821	0.044660	NA
Fan2014_children_I00047	-0.094794	0.043700	NA
Fan2014_children_I00048	0.229209	0.044775	NA
Fan2014_children_I00049	-0.121086	0.043840	NA
Hansen2018_children_I00000	0.187350	0.005952	NA
Hansen2018_children_I00001	-0.003517	0.005848	NA
Hansen2018_children_I00002	-0.013840	0.005849	NA
Hansen2018_children_I00003	0.186268	0.005951	NA
Hansen2018_children_I00004	0.171538	0.005935	NA
Hansen2018_children_I00005	0.199273	0.005965	NA
Hansen2018_children_I00006	0.193101	0.005958	NA
Hansen2018_children_I00007	0.205200	0.005972	NA
Hansen2018_children_I00008	0.192253	0.005957	NA
Hansen2018_children_I00009	0.180683	0.005944	NA
Hansen2018_children_I00010	0.188230	0.005953	NA
Hansen2018_children_I00011	0.196619	0.005962	NA
Hansen2018_children_I00012	0.183606	0.005948	NA
Hansen2018_children_I00013	0.187108	0.005951	NA
Hansen2018_children_I00014	0.191091	0.005956	NA
Hansen2018_children_I00015	-0.002522	0.005848	NA
Hansen2018_children_I00016	0.201962	0.005969	NA
Hansen2018_children_I00017	0.197055	0.005963	NA
Hansen2018_children_I00018	-0.022037	0.005849	NA
Hansen2018_children_I00019	0.191570	0.005956	NA
Hansen2018_children_I00020	0.199060	0.005965	NA
Hansen2018_children_I00021	0.206015	0.005973	NA
Hansen2018_children_I00022	0.197354	0.005963	NA
Hansen2018_children_I00023	0.182361	0.005946	NA
Hansen2018_children_I00024	0.177328	0.005941	NA
Hansen2018_children_I00025	-0.010349	0.005848	NA
Hansen2018_children_I00026	0.181048	0.005945	NA
Hansen2018_children_I00027	0.189678	0.005954	NA
Hansen2018_children_I00028	0.192029	0.005957	NA
Hansen2018_children_I00029	0.182898	0.005947	NA
