map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.160398	NA	NA
Hedges' <i>g</i>	0.092662	0.001363	2.516911
uncorrp	0.993907	NA	NA
uncorrp_neg	0.006093	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.009130	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.184332	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	14.186762	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	99.450813	NA	-0.040968
Terry2012_adults_I00006	0.271709	0.053063	NA
Terry2012_adults_I00007	0.131837	0.051895	NA
Terry2012_adults_I00008	0.208481	0.052502	NA
Terry2012_adults_I00009	0.226921	0.052469	NA
Terry2012_adults_I00010	0.132671	0.051888	NA
Terry2012_adults_I00011	0.148339	0.052035	NA
Terry2012_adults_I00012	0.186561	0.052301	NA
Terry2012_adults_I00013	0.200643	0.052469	NA
Terry2012_adults_I00014	0.156138	0.052234	NA
Terry2012_adults_I00015	0.045181	0.051536	NA
Terry2012_adults_I00016	0.161382	0.052071	NA
Terry2012_adults_I00017	0.059696	0.051383	NA
Terry2012_adults_I00018	0.244200	0.052577	NA
Terry2012_adults_I00019	0.171161	0.052362	NA
Terry2012_adults_I00020	0.103534	0.051759	NA
Terry2012_adults_I00021	0.048616	0.051412	NA
Terry2012_adults_I00022	0.064921	0.051610	NA
Terry2012_adults_I00023	0.152895	0.052020	NA
Terry2012_adults_I00024	0.157892	0.052143	NA
Terry2012_adults_I00025	0.341089	0.053600	NA
Terry2012_adults_I00026	0.177101	0.052275	NA
Terry2012_adults_I00027	0.149261	0.051946	NA
Terry2012_adults_I00028	0.157756	0.051970	NA
Terry2012_adults_I00029	0.136883	0.052066	NA
Terry2012_adults_I00030	0.150337	0.052125	NA
Terry2012_adults_I00031	0.225745	0.052612	NA
Terry2012_adults_I00032	0.194227	0.052213	NA
Terry2012_adults_I00033	0.176026	0.052373	NA
Terry2012_adults_I00034	0.115866	0.052043	NA
Terry2012_adults_I00035	0.117025	0.051720	NA
Terry2012_adults_I00036	0.202763	0.052324	NA
Terry2012_adults_I00037	0.227575	0.052588	NA
Terry2012_adults_I00038	0.139400	0.051830	NA
Terry2012_adults_I00039	0.153948	0.052052	NA
Terry2012_adults_I00040	0.231832	0.052415	NA
Terry2012_adults_I00041	0.185219	0.052133	NA
Terry2012_adults_I00042	0.030568	0.051346	NA
Terry2012_adults_I00043	0.165156	0.052293	NA
Terry2012_adults_I00044	0.096153	0.051816	NA
Terry2012_adults_I00045	0.225619	0.052542	NA
Terry2012_adults_I00046	0.080337	0.051592	NA
Terry2012_adults_I00047	0.181941	0.052305	NA
Terry2012_adults_I00048	0.043429	0.051375	NA
Terry2012_adults_I00049	0.212239	0.052460	NA
Ye2009_adults_I00000	0.295952	0.056303	NA
Ye2009_adults_I00001	0.283109	0.056093	NA
Ye2009_adults_I00002	0.198236	0.055443	NA
Ye2009_adults_I00003	0.292987	0.056259	NA
Ye2009_adults_I00004	0.222079	0.055259	NA
Ye2009_adults_I00005	0.202130	0.055495	NA
Ye2009_adults_I00006	0.299124	0.056497	NA
Ye2009_adults_I00007	-0.010696	0.053819	NA
Ye2009_adults_I00008	0.176075	0.055219	NA
Ye2009_adults_I00009	0.140711	0.054892	NA
Ye2009_adults_I00010	0.213563	0.055605	NA
Ye2009_adults_I00011	0.030554	0.054183	NA
Ye2009_adults_I00012	0.228643	0.055689	NA
Ye2009_adults_I00013	0.166186	0.055026	NA
Ye2009_adults_I00014	0.156782	0.055205	NA
Ye2009_adults_I00015	0.348708	0.056686	NA
Ye2009_adults_I00016	0.315464	0.056238	NA
Ye2009_adults_I00017	0.157163	0.055300	NA
Ye2009_adults_I00018	0.187347	0.055085	NA
Ye2009_adults_I00019	0.272814	0.056356	NA
Ye2009_adults_I00020	0.221655	0.055626	NA
Ye2009_adults_I00021	0.188543	0.055169	NA
Ye2009_adults_I00022	0.102002	0.054294	NA
Ye2009_adults_I00023	0.104667	0.054668	NA
Ye2009_adults_I00024	0.133742	0.054795	NA
Ye2009_adults_I00025	0.189246	0.055227	NA
Ye2009_adults_I00026	0.207891	0.055472	NA
Ye2009_adults_I00027	0.154149	0.055147	NA
Ye2009_adults_I00028	0.139196	0.054820	NA
Ye2009_adults_I00029	0.090013	0.054624	NA
Ye2009_adults_I00030	0.161795	0.055237	NA
Ye2009_adults_I00031	0.225416	0.055722	NA
Ye2009_adults_I00032	0.311705	0.056118	NA
Ye2009_adults_I00033	0.066039	0.054513	NA
Ye2009_adults_I00034	0.273330	0.055943	NA
Ye2009_adults_I00035	0.203802	0.055562	NA
Ye2009_adults_I00036	0.212242	0.055321	NA
