map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.289472	NA	NA
Hedges' <i>g</i>	0.094934	0.001247	2.703779
uncorrp	0.995798	NA	NA
uncorrp_neg	0.004202	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.005951	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.113579	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	9.198016	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	76.050552	NA	-1.847409
Zhu2010_adults_I00000	0.477534	0.052795	NA
Zhu2010_adults_I00001	0.515628	0.053473	NA
Zhu2010_adults_I00002	0.530735	0.054468	NA
Zhu2010_adults_I00003	0.470676	0.052343	NA
Zhu2010_adults_I00004	0.547054	0.054640	NA
Zhu2010_adults_I00005	0.536945	0.054741	NA
Zhu2010_adults_I00006	0.582428	0.054869	NA
Zhu2010_adults_I00007	0.508249	0.054037	NA
Zhu2010_adults_I00008	0.509169	0.053326	NA
Zhu2010_adults_I00009	0.582368	0.055042	NA
Zhu2010_adults_I00010	0.574349	0.055009	NA
Zhu2010_adults_I00011	0.529149	0.054401	NA
Zhu2010_adults_I00012	0.558991	0.055465	NA
Zhu2010_adults_I00013	0.518763	0.053453	NA
Zhu2010_adults_I00014	0.491303	0.053634	NA
Zhu2010_adults_I00015	0.520575	0.053662	NA
Zhu2010_adults_I00016	0.533868	0.054197	NA
Zhu2010_adults_I00017	0.499669	0.053136	NA
Zhu2010_adults_I00018	0.519181	0.053847	NA
Zhu2010_adults_I00019	0.505590	0.053240	NA
Zhu2010_adults_I00020	0.468577	0.052487	NA
Zhu2010_adults_I00021	0.452038	0.051986	NA
Zhu2010_adults_I00022	0.620173	0.056521	NA
Zhu2010_adults_I00023	0.610500	0.056324	NA
Zhu2010_adults_I00024	0.515155	0.053436	NA
Zhu2010_adults_I00025	0.589142	0.056075	NA
Zhu2010_adults_I00026	0.494387	0.053031	NA
Zhu2010_adults_I00027	0.519400	0.053963	NA
Zhu2010_adults_I00028	0.541482	0.054702	NA
Zhu2010_adults_I00029	0.510502	0.053365	NA
Zhu2010_adults_I00030	0.518702	0.054560	NA
Zhu2010_adults_I00031	0.505935	0.052943	NA
Zhu2010_adults_I00032	0.533256	0.054459	NA
Zhu2010_adults_I00033	0.522595	0.053240	NA
Zhu2010_adults_I00034	0.499217	0.053267	NA
