map	estimate	variance	sdm_z
deKieviet2014_children_I00045	-0.016910	0.021280	NA
deKieviet2014_children_I00046	0.251713	0.021992	NA
deKieviet2014_children_I00047	-0.005358	0.021277	NA
deKieviet2014_children_I00048	-0.027235	0.021285	NA
deKieviet2014_children_I00049	0.245594	0.021958	NA
Fan2014_children_I00000	-0.098299	0.043717	NA
Fan2014_children_I00001	0.214055	0.044609	NA
Fan2014_children_I00002	0.229319	0.044776	NA
Fan2014_children_I00003	-0.115430	0.043807	NA
Fan2014_children_I00004	0.220932	0.044683	NA
Fan2014_children_I00005	0.242648	0.044931	NA
Fan2014_children_I00006	0.217293	0.044644	NA
Fan2014_children_I00007	0.243275	0.044939	NA
Fan2014_children_I00008	0.221028	0.044684	NA
Fan2014_children_I00009	0.224195	0.044719	NA
Fan2014_children_I00010	0.202392	0.044489	NA
Fan2014_children_I00011	0.213271	0.044601	NA
Fan2014_children_I00012	-0.088801	0.043673	NA
Fan2014_children_I00013	0.226523	0.044745	NA
Fan2014_children_I00014	0.237657	0.044872	NA
Fan2014_children_I00015	0.223563	0.044712	NA
Fan2014_children_I00016	0.231295	0.044799	NA
Fan2014_children_I00017	-0.108194	0.043767	NA
Fan2014_children_I00018	-0.104254	0.043747	NA
Fan2014_children_I00019	-0.097661	0.043714	NA
Fan2014_children_I00020	-0.079240	0.043633	NA
Fan2014_children_I00021	0.212429	0.044592	NA
Fan2014_children_I00022	0.213482	0.044603	NA
Fan2014_children_I00023	0.227578	0.044757	NA
Fan2014_children_I00024	0.229027	0.044773	NA
Fan2014_children_I00025	-0.110988	0.043782	NA
Fan2014_children_I00026	0.235854	0.044851	NA
Fan2014_children_I00027	0.209143	0.044558	NA
Fan2014_children_I00028	-0.100310	0.043727	NA
Fan2014_children_I00029	0.218571	0.044657	NA
Fan2014_children_I00030	0.221318	0.044687	NA
Fan2014_children_I00031	0.242549	0.044930	NA
Fan2014_children_I00032	-0.112194	0.043789	NA
Fan2014_children_I00033	0.229253	0.044775	NA
Fan2014_children_I00034	0.221091	0.044685	NA
Fan2014_children_I00035	0.202851	0.044494	NA
Fan2014_children_I00036	0.195945	0.044426	NA
Fan2014_children_I00037	0.225957	0.044738	NA
Fan2014_children_I00038	0.200220	0.044468	NA
Fan2014_children_I00039	0.200899	0.044474	NA
Fan2014_children_I00040	0.240291	0.044903	NA
Fan2014_children_I00041	0.208242	0.044549	NA
Fan2014_children_I00042	0.241596	0.044919	NA
Fan2014_children_I00043	0.220877	0.044682	NA
Fan2014_children_I00044	0.204865	0.044514	NA
Fan2014_children_I00045	0.227810	0.044759	NA
Fan2014_children_I00046	-0.110432	0.043779	NA
