map	estimate	variance	sdm_z
deKieviet2014_children_I00045	-0.030108	0.021287	NA
deKieviet2014_children_I00046	0.221816	0.021832	NA
deKieviet2014_children_I00047	0.223954	0.021843	NA
deKieviet2014_children_I00048	0.221826	0.021832	NA
deKieviet2014_children_I00049	0.248349	0.021973	NA
Fan2014_children_I00000	0.216524	0.044635	NA
Fan2014_children_I00001	-0.100915	0.043730	NA
Fan2014_children_I00002	0.214002	0.044609	NA
Fan2014_children_I00003	-0.125405	0.043866	NA
Fan2014_children_I00004	-0.113349	0.043795	NA
Fan2014_children_I00005	0.213328	0.044601	NA
Fan2014_children_I00006	0.190385	0.044373	NA
Fan2014_children_I00007	-0.099516	0.043723	NA
Fan2014_children_I00008	-0.115581	0.043808	NA
Fan2014_children_I00009	-0.106153	0.043756	NA
Fan2014_children_I00010	0.193416	0.044402	NA
Fan2014_children_I00011	0.197261	0.044439	NA
Fan2014_children_I00012	-0.124910	0.043863	NA
Fan2014_children_I00013	0.216032	0.044630	NA
Fan2014_children_I00014	-0.115667	0.043808	NA
Fan2014_children_I00015	0.183384	0.044308	NA
Fan2014_children_I00016	-0.102489	0.043738	NA
Fan2014_children_I00017	0.227500	0.044756	NA
Fan2014_children_I00018	0.209329	0.044560	NA
Fan2014_children_I00019	-0.130846	0.043901	NA
Fan2014_children_I00020	0.208323	0.044549	NA
Fan2014_children_I00021	0.198883	0.044455	NA
Fan2014_children_I00022	-0.144556	0.043994	NA
Fan2014_children_I00023	0.217409	0.044645	NA
Fan2014_children_I00024	0.213136	0.044599	NA
Fan2014_children_I00025	0.217015	0.044641	NA
Fan2014_children_I00026	0.206747	0.044533	NA
Fan2014_children_I00027	0.201609	0.044481	NA
Fan2014_children_I00028	0.227066	0.044751	NA
Fan2014_children_I00029	0.186790	0.044339	NA
Fan2014_children_I00030	-0.099205	0.043721	NA
Fan2014_children_I00031	0.221672	0.044691	NA
Fan2014_children_I00032	0.210162	0.044568	NA
Fan2014_children_I00033	0.178020	0.044260	NA
Fan2014_children_I00034	0.210207	0.044569	NA
Fan2014_children_I00035	-0.135520	0.043932	NA
Fan2014_children_I00036	0.237501	0.044870	NA
Fan2014_children_I00037	0.186078	0.044333	NA
Fan2014_children_I00038	0.218080	0.044652	NA
Fan2014_children_I00039	-0.099853	0.043724	NA
Fan2014_children_I00040	0.195358	0.044420	NA
Fan2014_children_I00041	-0.115337	0.043807	NA
Fan2014_children_I00042	0.211252	0.044580	NA
Fan2014_children_I00043	0.224895	0.044727	NA
Fan2014_children_I00044	0.220896	0.044683	NA
Fan2014_children_I00045	0.177413	0.044255	NA
Fan2014_children_I00046	0.186303	0.044335	NA
Fan2014_children_I00047	0.166833	0.044165	NA
Fan2014_children_I00048	0.213934	0.044608	NA
Fan2014_children_I00049	-0.132745	0.043913	NA
Hansen2018_children_I00000	0.042518	0.005853	NA
Hansen2018_children_I00001	0.023268	0.005850	NA
Hansen2018_children_I00002	0.024801	0.005850	NA
Hansen2018_children_I00003	0.181385	0.005945	NA
