map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.179001	NA	NA
Hedges' <i>g</i>	0.099076	0.001553	2.521622
uncorrp	0.993962	NA	NA
uncorrp_neg	0.006038	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.018193	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.365531	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	26.400759	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	108.282959	NA	0.606852
Zhu2010_adults_I00000	0.147080	0.047118	NA
Zhu2010_adults_I00001	0.201359	0.047484	NA
Zhu2010_adults_I00002	0.212075	0.047655	NA
Zhu2010_adults_I00003	0.231977	0.047732	NA
Zhu2010_adults_I00004	0.153006	0.047181	NA
Zhu2010_adults_I00005	0.179101	0.047258	NA
Zhu2010_adults_I00006	0.091789	0.047000	NA
Zhu2010_adults_I00007	0.163292	0.047280	NA
Zhu2010_adults_I00008	0.083920	0.046792	NA
Zhu2010_adults_I00009	0.292780	0.048059	NA
Zhu2010_adults_I00010	0.155505	0.047137	NA
Zhu2010_adults_I00011	0.138292	0.047181	NA
Zhu2010_adults_I00012	0.293558	0.048178	NA
Zhu2010_adults_I00013	0.117252	0.047006	NA
Zhu2010_adults_I00014	0.039949	0.046495	NA
Zhu2010_adults_I00015	0.040638	0.046522	NA
Zhu2010_adults_I00016	0.149856	0.047313	NA
Zhu2010_adults_I00017	0.041690	0.046596	NA
Zhu2010_adults_I00018	0.161228	0.047230	NA
Zhu2010_adults_I00019	0.181047	0.047403	NA
Zhu2010_adults_I00020	-0.020302	0.046366	NA
Zhu2010_adults_I00021	0.048942	0.046780	NA
Zhu2010_adults_I00022	0.311525	0.047980	NA
Zhu2010_adults_I00023	0.175548	0.047259	NA
Zhu2010_adults_I00024	0.094040	0.046844	NA
Zhu2010_adults_I00025	0.233080	0.047508	NA
Zhu2010_adults_I00026	0.115563	0.046972	NA
Zhu2010_adults_I00027	0.220267	0.047760	NA
Zhu2010_adults_I00028	0.237964	0.047742	NA
Zhu2010_adults_I00029	0.258279	0.047663	NA
Zhu2010_adults_I00030	0.086871	0.046893	NA
Zhu2010_adults_I00031	0.138904	0.047191	NA
Zhu2010_adults_I00032	0.231300	0.047648	NA
Zhu2010_adults_I00033	0.152921	0.047223	NA
Zhu2010_adults_I00034	0.270845	0.047782	NA
Zhu2010_adults_I00035	0.225272	0.047594	NA
Zhu2010_adults_I00036	0.064158	0.046673	NA
Zhu2010_adults_I00037	-0.058455	0.045903	NA
Zhu2010_adults_I00038	0.238419	0.047473	NA
Zhu2010_adults_I00039	0.229396	0.047790	NA
Zhu2010_adults_I00040	0.119699	0.046997	NA
Zhu2010_adults_I00041	0.157632	0.047378	NA
Zhu2010_adults_I00042	0.066645	0.046727	NA
Zhu2010_adults_I00043	0.158944	0.047267	NA
Zhu2010_adults_I00044	0.100084	0.047016	NA
Zhu2010_adults_I00045	0.197370	0.047253	NA
Zhu2010_adults_I00046	0.132133	0.047092	NA
Zhu2010_adults_I00047	0.087253	0.046771	NA
Zhu2010_adults_I00048	0.186209	0.047497	NA
Zhu2010_adults_I00049	0.226277	0.047345	NA
Mitchell2010_adults_I00000	0.247853	0.037497	NA
Mitchell2010_adults_I00001	0.239473	0.037450	NA
Mitchell2010_adults_I00002	0.185404	0.037194	NA
Mitchell2010_adults_I00003	0.294994	0.037710	NA
Mitchell2010_adults_I00004	0.237940	0.037295	NA
Mitchell2010_adults_I00005	0.085601	0.036750	NA
Mitchell2010_adults_I00006	0.211815	0.037403	NA
Mitchell2010_adults_I00007	0.089150	0.036760	NA
Mitchell2010_adults_I00008	0.206806	0.037213	NA
Mitchell2010_adults_I00009	0.198203	0.037276	NA
Mitchell2010_adults_I00010	0.246792	0.037443	NA
Mitchell2010_adults_I00011	0.256131	0.037408	NA
Mitchell2010_adults_I00012	0.187489	0.037182	NA
Mitchell2010_adults_I00013	0.191442	0.037124	NA
Mitchell2010_adults_I00014	0.315609	0.037950	NA
Mitchell2010_adults_I00015	0.225267	0.037525	NA
Mitchell2010_adults_I00016	0.236673	0.037563	NA
Mitchell2010_adults_I00017	0.096860	0.036802	NA
Mitchell2010_adults_I00018	0.217025	0.037373	NA
Mitchell2010_adults_I00019	0.102333	0.036723	NA
Mitchell2010_adults_I00020	0.244901	0.037458	NA
Mitchell2010_adults_I00021	-0.000630	0.036390	NA
Mitchell2010_adults_I00022	0.178529	0.037182	NA
Mitchell2010_adults_I00023	0.174996	0.037087	NA
Mitchell2010_adults_I00024	0.172571	0.037095	NA
Mitchell2010_adults_I00025	0.221477	0.037350	NA
Mitchell2010_adults_I00026	0.291255	0.037837	NA
Mitchell2010_adults_I00027	0.160795	0.037060	NA
Mitchell2010_adults_I00028	0.296846	0.037913	NA
Mitchell2010_adults_I00029	0.199526	0.037301	NA
Mitchell2010_adults_I00030	0.205529	0.037193	NA
Mitchell2010_adults_I00031	0.161971	0.036951	NA
Mitchell2010_adults_I00032	0.225170	0.037434	NA
Mitchell2010_adults_I00033	0.145621	0.036959	NA
Mitchell2010_adults_I00034	0.265645	0.037678	NA
Mitchell2010_adults_I00035	0.067111	0.036613	NA
Mitchell2010_adults_I00036	0.168404	0.037210	NA
Mitchell2010_adults_I00037	0.234531	0.037425	NA
Mitchell2010_adults_I00038	0.099948	0.036781	NA
Mitchell2010_adults_I00039	0.218344	0.037217	NA
Mitchell2010_adults_I00040	0.266865	0.037737	NA
Mitchell2010_adults_I00041	0.222020	0.037282	NA
Mitchell2010_adults_I00042	0.193682	0.037146	NA
Mitchell2010_adults_I00043	0.175963	0.037112	NA
Mitchell2010_adults_I00044	0.098005	0.036704	NA
Mitchell2010_adults_I00045	0.236899	0.037438	NA
Mitchell2010_adults_I00046	0.292574	0.037676	NA
Mitchell2010_adults_I00047	0.229280	0.037336	NA
Mitchell2010_adults_I00048	0.258375	0.037581	NA
Mitchell2010_adults_I00049	0.196047	0.037204	NA
Terry2012_adults_I00000	0.138467	0.052208	NA
Terry2012_adults_I00001	0.298508	0.053441	NA
Terry2012_adults_I00002	0.295253	0.053209	NA
Terry2012_adults_I00003	-0.006175	0.051052	NA
Terry2012_adults_I00004	0.256067	0.052971	NA
Terry2012_adults_I00005	0.253675	0.052601	NA
Terry2012_adults_I00006	0.081596	0.051699	NA
Terry2012_adults_I00007	0.121817	0.052188	NA
Terry2012_adults_I00008	0.188974	0.052585	NA
Terry2012_adults_I00009	0.313754	0.053498	NA
Terry2012_adults_I00010	0.226064	0.052676	NA
Terry2012_adults_I00011	0.195758	0.052403	NA
Terry2012_adults_I00012	0.071629	0.051529	NA
Terry2012_adults_I00013	0.154042	0.052232	NA
Terry2012_adults_I00014	0.074095	0.051714	NA
Terry2012_adults_I00015	0.140242	0.052150	NA
Terry2012_adults_I00016	0.062181	0.051489	NA
Terry2012_adults_I00017	0.109219	0.051845	NA
Terry2012_adults_I00018	0.288435	0.053257	NA
Terry2012_adults_I00019	0.156284	0.052334	NA
Terry2012_adults_I00020	0.142408	0.052239	NA
Terry2012_adults_I00021	0.024408	0.051199	NA
Terry2012_adults_I00022	0.284318	0.053259	NA
Terry2012_adults_I00023	0.133904	0.052110	NA
Terry2012_adults_I00024	0.038317	0.051471	NA
Terry2012_adults_I00025	0.199043	0.052538	NA
Terry2012_adults_I00026	0.332248	0.053657	NA
Terry2012_adults_I00027	0.060886	0.051644	NA
Terry2012_adults_I00028	0.110876	0.051820	NA
Terry2012_adults_I00029	0.294193	0.053202	NA
Terry2012_adults_I00030	0.285356	0.053047	NA
Terry2012_adults_I00031	0.283426	0.053324	NA
Terry2012_adults_I00032	0.312966	0.053514	NA
Terry2012_adults_I00033	0.285561	0.053397	NA
Terry2012_adults_I00034	0.095659	0.051741	NA
Terry2012_adults_I00035	0.233697	0.052997	NA
Terry2012_adults_I00036	0.135054	0.052155	NA
Terry2012_adults_I00037	0.243084	0.052613	NA
Terry2012_adults_I00038	0.207031	0.052229	NA
Terry2012_adults_I00039	0.213012	0.052609	NA
Terry2012_adults_I00040	0.271669	0.053151	NA
Terry2012_adults_I00041	0.320493	0.053198	NA
Terry2012_adults_I00042	0.305179	0.053370	NA
Terry2012_adults_I00043	0.242959	0.052930	NA
