map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.239701	NA	NA
Hedges' <i>g</i>	0.089157	0.001177	2.613506
uncorrp	0.994874	NA	NA
uncorrp_neg	0.005126	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.004175	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.081320	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	7.002453	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	82.689949	NA	-1.290929
Zhu2010_adults_I00000	0.243173	0.048201	NA
Zhu2010_adults_I00001	0.353504	0.048976	NA
Zhu2010_adults_I00002	0.303625	0.048472	NA
Zhu2010_adults_I00003	0.227298	0.047712	NA
Zhu2010_adults_I00004	0.067004	0.046568	NA
Zhu2010_adults_I00005	0.074302	0.046594	NA
Zhu2010_adults_I00006	0.199006	0.047506	NA
Zhu2010_adults_I00007	0.210578	0.047690	NA
Zhu2010_adults_I00008	0.248674	0.047952	NA
Zhu2010_adults_I00009	0.321917	0.048468	NA
Zhu2010_adults_I00010	0.164319	0.047179	NA
Zhu2010_adults_I00011	0.301385	0.048304	NA
Zhu2010_adults_I00012	0.226456	0.047699	NA
Zhu2010_adults_I00013	0.304503	0.048411	NA
Zhu2010_adults_I00014	0.185303	0.047504	NA
Zhu2010_adults_I00015	0.189044	0.047378	NA
Zhu2010_adults_I00016	0.233986	0.047717	NA
Zhu2010_adults_I00017	0.125303	0.047014	NA
Zhu2010_adults_I00018	0.220907	0.047689	NA
Zhu2010_adults_I00019	0.281438	0.048185	NA
Zhu2010_adults_I00020	0.241199	0.047888	NA
Zhu2010_adults_I00021	0.061288	0.046660	NA
Zhu2010_adults_I00022	0.295988	0.048168	NA
Zhu2010_adults_I00023	0.234934	0.047836	NA
Zhu2010_adults_I00024	0.205179	0.047574	NA
Zhu2010_adults_I00025	0.242633	0.048009	NA
Zhu2010_adults_I00026	0.170250	0.047350	NA
Zhu2010_adults_I00027	0.260294	0.048064	NA
Zhu2010_adults_I00028	0.190078	0.047508	NA
Zhu2010_adults_I00029	0.232733	0.047788	NA
Zhu2010_adults_I00030	0.274923	0.048181	NA
Zhu2010_adults_I00031	0.217530	0.047724	NA
Zhu2010_adults_I00032	0.166708	0.047235	NA
Zhu2010_adults_I00033	0.249810	0.048022	NA
Zhu2010_adults_I00034	0.252901	0.047880	NA
Zhu2010_adults_I00035	0.326951	0.048678	NA
Zhu2010_adults_I00036	0.268420	0.048137	NA
Zhu2010_adults_I00037	0.117997	0.046844	NA
Zhu2010_adults_I00038	0.280961	0.048090	NA
Zhu2010_adults_I00039	0.289830	0.048161	NA
Zhu2010_adults_I00040	0.211711	0.047494	NA
Zhu2010_adults_I00041	0.248446	0.047867	NA
Zhu2010_adults_I00042	0.188819	0.047401	NA
Zhu2010_adults_I00043	0.268266	0.048121	NA
Zhu2010_adults_I00044	0.153219	0.047122	NA
Zhu2010_adults_I00045	0.298928	0.048344	NA
Zhu2010_adults_I00046	0.146564	0.047163	NA
Zhu2010_adults_I00047	0.308097	0.048228	NA
Zhu2010_adults_I00048	0.353328	0.048957	NA
Zhu2010_adults_I00049	0.322359	0.048410	NA
Mitchell2010_adults_I00000	0.277165	0.037896	NA
Mitchell2010_adults_I00001	0.368527	0.038872	NA
Mitchell2010_adults_I00002	0.399420	0.039148	NA
Mitchell2010_adults_I00003	0.306999	0.038091	NA
Mitchell2010_adults_I00004	0.241089	0.037611	NA
Mitchell2010_adults_I00005	0.217064	0.037300	NA
Mitchell2010_adults_I00006	0.313011	0.038294	NA
Mitchell2010_adults_I00007	0.268796	0.037698	NA
Mitchell2010_adults_I00008	0.223133	0.037202	NA
Mitchell2010_adults_I00009	0.230911	0.037444	NA
Mitchell2010_adults_I00010	0.294015	0.037903	NA
Mitchell2010_adults_I00011	0.351062	0.038522	NA
Mitchell2010_adults_I00012	0.231880	0.037316	NA
Mitchell2010_adults_I00013	0.388048	0.038950	NA
Mitchell2010_adults_I00014	0.270617	0.037637	NA
Mitchell2010_adults_I00015	0.379627	0.038928	NA
Mitchell2010_adults_I00016	0.281218	0.037810	NA
Mitchell2010_adults_I00017	0.205675	0.037148	NA
Mitchell2010_adults_I00018	0.307177	0.038121	NA
Mitchell2010_adults_I00019	0.360498	0.038708	NA
Mitchell2010_adults_I00020	0.312617	0.038258	NA
Mitchell2010_adults_I00021	0.230603	0.037477	NA
Mitchell2010_adults_I00022	0.352490	0.038629	NA
Mitchell2010_adults_I00023	0.212378	0.037219	NA
Mitchell2010_adults_I00024	0.241903	0.037404	NA
Mitchell2010_adults_I00025	0.207624	0.037121	NA
Mitchell2010_adults_I00026	0.247257	0.037667	NA
Mitchell2010_adults_I00027	0.270767	0.037673	NA
Mitchell2010_adults_I00028	0.386267	0.038949	NA
Mitchell2010_adults_I00029	0.229531	0.037383	NA
Mitchell2010_adults_I00030	0.197157	0.037137	NA
Mitchell2010_adults_I00031	0.376631	0.038972	NA
Mitchell2010_adults_I00032	0.274351	0.037772	NA
Mitchell2010_adults_I00033	0.211742	0.037072	NA
Mitchell2010_adults_I00034	0.234418	0.037443	NA
Mitchell2010_adults_I00035	0.268449	0.037965	NA
Mitchell2010_adults_I00036	0.198588	0.037024	NA
Mitchell2010_adults_I00037	0.167592	0.036780	NA
Mitchell2010_adults_I00038	0.223218	0.037261	NA
Mitchell2010_adults_I00039	0.318346	0.038117	NA
Mitchell2010_adults_I00040	0.332514	0.038596	NA
Mitchell2010_adults_I00041	0.231623	0.037273	NA
Mitchell2010_adults_I00042	0.354319	0.038796	NA
Mitchell2010_adults_I00043	0.186584	0.036980	NA
Mitchell2010_adults_I00044	0.270191	0.037885	NA
Mitchell2010_adults_I00045	0.206398	0.037485	NA
Mitchell2010_adults_I00046	0.281336	0.037753	NA
Mitchell2010_adults_I00047	0.282802	0.037836	NA
Mitchell2010_adults_I00048	0.346188	0.038577	NA
Mitchell2010_adults_I00049	0.278039	0.037854	NA
Terry2012_adults_I00000	0.339754	0.055170	NA
Terry2012_adults_I00001	0.353521	0.054759	NA
Terry2012_adults_I00002	0.400845	0.056309	NA
Terry2012_adults_I00003	0.460225	0.057535	NA
Terry2012_adults_I00004	0.363040	0.055287	NA
Terry2012_adults_I00005	0.493114	0.058038	NA
Terry2012_adults_I00006	0.464930	0.057709	NA
Terry2012_adults_I00007	0.309666	0.054463	NA
Terry2012_adults_I00008	0.382959	0.056001	NA
Terry2012_adults_I00009	0.411488	0.056738	NA
Terry2012_adults_I00010	0.378438	0.055355	NA
Terry2012_adults_I00011	0.326764	0.054636	NA
Terry2012_adults_I00012	0.329748	0.055148	NA
Terry2012_adults_I00013	0.339627	0.055001	NA
Terry2012_adults_I00014	0.364028	0.055990	NA
Terry2012_adults_I00015	0.360976	0.055767	NA
Terry2012_adults_I00016	0.338299	0.055257	NA
Terry2012_adults_I00017	0.458978	0.057417	NA
Terry2012_adults_I00018	0.460660	0.057405	NA
Terry2012_adults_I00019	0.314786	0.054557	NA
Terry2012_adults_I00020	0.465093	0.057459	NA
Terry2012_adults_I00021	0.482399	0.058028	NA
Terry2012_adults_I00022	0.445759	0.057039	NA
Terry2012_adults_I00023	0.328807	0.054913	NA
Terry2012_adults_I00024	0.390299	0.056564	NA
Terry2012_adults_I00025	0.399103	0.055715	NA
Terry2012_adults_I00026	0.492863	0.058270	NA
Terry2012_adults_I00027	0.414773	0.056614	NA
Terry2012_adults_I00028	0.371204	0.055802	NA
Terry2012_adults_I00029	0.436105	0.056960	NA
Terry2012_adults_I00030	0.388711	0.056133	NA
Terry2012_adults_I00031	0.360761	0.055003	NA
Terry2012_adults_I00032	0.441610	0.056820	NA
Terry2012_adults_I00033	0.394164	0.055831	NA
Terry2012_adults_I00034	0.365935	0.055914	NA
Terry2012_adults_I00035	0.389301	0.056318	NA
Terry2012_adults_I00036	0.392681	0.056306	NA
Terry2012_adults_I00037	0.456451	0.057918	NA
Terry2012_adults_I00038	0.398930	0.056654	NA
Terry2012_adults_I00039	0.388612	0.055548	NA
Terry2012_adults_I00040	0.489239	0.058252	NA
Terry2012_adults_I00041	0.357236	0.055384	NA
Terry2012_adults_I00042	0.286140	0.053882	NA
Terry2012_adults_I00043	0.472337	0.057697	NA
Terry2012_adults_I00044	0.377750	0.056074	NA
Terry2012_adults_I00045	0.499847	0.058359	NA
Terry2012_adults_I00046	0.416670	0.057000	NA
Terry2012_adults_I00047	0.389826	0.056328	NA
Terry2012_adults_I00048	0.426798	0.056405	NA
Terry2012_adults_I00049	0.386449	0.055440	NA
Ye2009_adults_I00000	0.325661	0.057420	NA
Ye2009_adults_I00001	0.219155	0.055854	NA
Ye2009_adults_I00002	0.101980	0.053530	NA
Ye2009_adults_I00003	0.253929	0.056207	NA
Ye2009_adults_I00004	0.239125	0.056025	NA
Ye2009_adults_I00005	0.323224	0.057215	NA
Ye2009_adults_I00006	0.239953	0.055885	NA
Ye2009_adults_I00007	0.311269	0.057330	NA
Ye2009_adults_I00008	0.241536	0.056066	NA
Ye2009_adults_I00009	0.098277	0.053969	NA
Ye2009_adults_I00010	0.249754	0.056093	NA
Ye2009_adults_I00011	0.361678	0.057794	NA
Ye2009_adults_I00012	0.336224	0.057627	NA
Ye2009_adults_I00013	0.240599	0.055795	NA
Ye2009_adults_I00014	0.203998	0.055589	NA
Ye2009_adults_I00015	0.311111	0.057039	NA
Ye2009_adults_I00016	0.245324	0.056208	NA
Ye2009_adults_I00017	0.211607	0.055339	NA
Ye2009_adults_I00018	0.192919	0.055339	NA
Ye2009_adults_I00019	0.291496	0.056829	NA
Ye2009_adults_I00020	0.288148	0.056560	NA
Ye2009_adults_I00021	0.169026	0.054957	NA
Ye2009_adults_I00022	0.153598	0.054594	NA
Ye2009_adults_I00023	0.446850	0.059521	NA
Ye2009_adults_I00024	0.205911	0.055409	NA
Ye2009_adults_I00025	0.250088	0.056304	NA
Ye2009_adults_I00026	0.218715	0.055392	NA
Ye2009_adults_I00027	0.198438	0.055505	NA
Ye2009_adults_I00028	0.088941	0.053639	NA
Ye2009_adults_I00029	0.414453	0.058936	NA
Ye2009_adults_I00030	0.206009	0.055441	NA
Ye2009_adults_I00031	0.349812	0.057618	NA
Ye2009_adults_I00032	0.381245	0.058354	NA
Ye2009_adults_I00033	0.311116	0.057021	NA
Ye2009_adults_I00034	0.325795	0.057552	NA
Ye2009_adults_I00035	0.277496	0.056892	NA
Ye2009_adults_I00036	0.156093	0.054503	NA
Ye2009_adults_I00037	0.205640	0.055547	NA
Ye2009_adults_I00038	0.310377	0.057143	NA
Ye2009_adults_I00039	0.261012	0.056024	NA
Ye2009_adults_I00040	0.263173	0.056936	NA
Ye2009_adults_I00041	0.223103	0.055862	NA
Ye2009_adults_I00042	0.141443	0.054592	NA
Ye2009_adults_I00043	0.390662	0.058255	NA
Ye2009_adults_I00044	0.211875	0.055509	NA
Ye2009_adults_I00045	0.181438	0.054854	NA
Ye2009_adults_I00046	0.261032	0.056360	NA
Ye2009_adults_I00047	0.363652	0.058330	NA
Ye2009_adults_I00048	0.254845	0.056327	NA
Ye2009_adults_I00049	0.404131	0.059081	NA
Ansari2006_adults_I00000	0.246504	0.077689	NA
Ansari2006_adults_I00001	0.261862	0.077146	NA
Ansari2006_adults_I00002	0.231956	0.076895	NA
Ansari2006_adults_I00003	0.340293	0.079190	NA
Ansari2006_adults_I00004	0.276117	0.077696	NA
Ansari2006_adults_I00005	0.220628	0.076977	NA
Ansari2006_adults_I00006	0.252123	0.077706	NA
Ansari2006_adults_I00007	0.191131	0.075841	NA
Ansari2006_adults_I00008	0.182352	0.076333	NA
Ansari2006_adults_I00009	0.277461	0.077653	NA
Ansari2006_adults_I00010	0.337580	0.078959	NA
Ansari2006_adults_I00011	0.242967	0.077085	NA
Ansari2006_adults_I00012	0.416326	0.080755	NA
Ansari2006_adults_I00013	0.304573	0.078460	NA
Ansari2006_adults_I00014	0.352618	0.079382	NA
Ansari2006_adults_I00015	0.368811	0.080145	NA
Ansari2006_adults_I00016	0.269224	0.077384	NA
Ansari2006_adults_I00017	0.283043	0.077927	NA
Ansari2006_adults_I00018	0.283222	0.078035	NA
Ansari2006_adults_I00019	0.298655	0.078090	NA
Ansari2006_adults_I00020	0.404935	0.080800	NA
Ansari2006_adults_I00021	0.381644	0.080308	NA
Ansari2006_adults_I00022	0.285229	0.077295	NA
Ansari2006_adults_I00023	0.137331	0.075199	NA
Ansari2006_adults_I00024	0.213971	0.077460	NA
Ansari2006_adults_I00025	0.167486	0.075875	NA
Ansari2006_adults_I00026	0.252964	0.077345	NA
Ansari2006_adults_I00027	0.375676	0.079886	NA
Ansari2006_adults_I00028	0.264225	0.077278	NA
Ansari2006_adults_I00029	0.236906	0.076991	NA
Ansari2006_adults_I00030	0.192287	0.076673	NA
Ansari2006_adults_I00031	0.372113	0.079589	NA
Ansari2006_adults_I00032	0.250267	0.077801	NA
Ansari2006_adults_I00033	0.369466	0.079684	NA
Ansari2006_adults_I00034	0.222613	0.076894	NA
Ansari2006_adults_I00035	0.266767	0.078238	NA
Ansari2006_adults_I00036	0.368792	0.080409	NA
Ansari2006_adults_I00037	0.339772	0.078775	NA
Ansari2006_adults_I00038	0.372749	0.079920	NA
Ansari2006_adults_I00039	0.315988	0.078583	NA
Ansari2006_adults_I00040	0.169573	0.075633	NA
Ansari2006_adults_I00041	0.041261	0.074275	NA
Ansari2006_adults_I00042	0.391932	0.080488	NA
Ansari2006_adults_I00043	0.420077	0.081354	NA
Ansari2006_adults_I00044	0.300899	0.078135	NA
Ansari2006_adults_I00045	0.386923	0.080157	NA
Ansari2006_adults_I00046	0.120849	0.074598	NA
Ansari2006_adults_I00047	0.305355	0.078244	NA
Ansari2006_adults_I00048	0.157860	0.074957	NA
Ansari2006_adults_I00049	0.176156	0.075959	NA
Hazeltine2000_adults_I00000	0.629739	0.178634	NA
Hazeltine2000_adults_I00001	0.481735	0.164550	NA
Hazeltine2000_adults_I00002	0.486991	0.160118	NA
Hazeltine2000_adults_I00003	0.538146	0.168347	NA
Hazeltine2000_adults_I00004	0.625616	0.174005	NA
Hazeltine2000_adults_I00005	0.595071	0.168392	NA
Hazeltine2000_adults_I00006	0.680545	0.182396	NA
Hazeltine2000_adults_I00007	0.580766	0.168142	NA
Hazeltine2000_adults_I00008	0.532952	0.174675	NA
Hazeltine2000_adults_I00009	0.513226	0.167426	NA
Hazeltine2000_adults_I00010	0.535006	0.176807	NA
Hazeltine2000_adults_I00011	0.350398	0.155588	NA
Hazeltine2000_adults_I00012	0.572763	0.171062	NA
Hazeltine2000_adults_I00013	0.556438	0.168070	NA
Hazeltine2000_adults_I00014	0.487739	0.162409	NA
Hazeltine2000_adults_I00015	0.602050	0.168990	NA
Hazeltine2000_adults_I00016	0.398855	0.158909	NA
Hazeltine2000_adults_I00017	0.518280	0.167145	NA
Hazeltine2000_adults_I00018	0.498477	0.165103	NA
Hazeltine2000_adults_I00019	0.596134	0.174999	NA
Hazeltine2000_adults_I00020	0.372460	0.162276	NA
Hazeltine2000_adults_I00021	0.530770	0.163766	NA
Hazeltine2000_adults_I00022	0.499507	0.163159	NA
Hazeltine2000_adults_I00023	0.465940	0.159477	NA
Hazeltine2000_adults_I00024	0.443474	0.159127	NA
Hazeltine2000_adults_I00025	0.478083	0.165048	NA
Hazeltine2000_adults_I00026	0.500218	0.171005	NA
Hazeltine2000_adults_I00027	0.486502	0.161223	NA
Hazeltine2000_adults_I00028	0.641808	0.175903	NA
Hazeltine2000_adults_I00029	0.316821	0.153079	NA
Hazeltine2000_adults_I00030	0.291673	0.150366	NA
Hazeltine2000_adults_I00031	0.443932	0.167933	NA
Hazeltine2000_adults_I00032	0.556520	0.176068	NA
Hazeltine2000_adults_I00033	0.456403	0.163881	NA
Hazeltine2000_adults_I00034	0.526503	0.174688	NA
Hazeltine2000_adults_I00035	0.630537	0.181979	NA
Hazeltine2000_adults_I00036	0.623171	0.182935	NA
Hazeltine2000_adults_I00037	0.462256	0.160030	NA
Hazeltine2000_adults_I00038	0.574616	0.171150	NA
Hazeltine2000_adults_I00039	0.545318	0.165757	NA
Hazeltine2000_adults_I00040	0.532093	0.170332	NA
Hazeltine2000_adults_I00041	0.422539	0.156611	NA
Hazeltine2000_adults_I00042	0.513481	0.167457	NA
Hazeltine2000_adults_I00043	0.595399	0.175550	NA
Hazeltine2000_adults_I00044	0.513975	0.163157	NA
Hazeltine2000_adults_I00045	0.579416	0.172740	NA
Hazeltine2000_adults_I00046	0.465998	0.161823	NA
Hazeltine2000_adults_I00047	0.494807	0.161290	NA
Hazeltine2000_adults_I00048	0.524288	0.164229	NA
Hazeltine2000_adults_I00049	0.312178	0.152873	NA
Aarts2008_adults_I00000	0.846443	0.128423	NA
