map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.187635	NA	NA
Hedges' <i>g</i>	0.088000	0.001104	2.649532
uncorrp	0.995479	NA	NA
uncorrp_neg	0.004521	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.001350	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.026498	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	2.525472	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	79.874718	NA	-1.507629
Terry2012_adults_I00006	0.266494	0.052857	NA
Terry2012_adults_I00007	0.209341	0.052362	NA
Terry2012_adults_I00008	0.219384	0.052425	NA
Terry2012_adults_I00009	0.241016	0.052693	NA
Terry2012_adults_I00010	0.052462	0.051462	NA
Terry2012_adults_I00011	0.293719	0.053326	NA
Terry2012_adults_I00012	0.222363	0.052582	NA
Terry2012_adults_I00013	0.301429	0.053105	NA
Terry2012_adults_I00014	0.266766	0.052891	NA
Terry2012_adults_I00015	0.064365	0.051335	NA
Terry2012_adults_I00016	0.180437	0.052280	NA
Terry2012_adults_I00017	0.123306	0.051840	NA
Terry2012_adults_I00018	0.163131	0.052181	NA
Terry2012_adults_I00019	0.258474	0.052944	NA
Terry2012_adults_I00020	0.179295	0.052347	NA
Terry2012_adults_I00021	0.199549	0.052478	NA
Terry2012_adults_I00022	0.222843	0.052430	NA
Terry2012_adults_I00023	0.095450	0.051816	NA
Terry2012_adults_I00024	0.165960	0.052201	NA
Terry2012_adults_I00025	0.077797	0.051812	NA
Terry2012_adults_I00026	0.122421	0.051924	NA
Terry2012_adults_I00027	0.313407	0.053418	NA
Terry2012_adults_I00028	0.262904	0.052873	NA
Terry2012_adults_I00029	0.245171	0.052818	NA
Terry2012_adults_I00030	0.114037	0.051722	NA
Terry2012_adults_I00031	0.082295	0.051574	NA
Terry2012_adults_I00032	0.176965	0.052255	NA
Terry2012_adults_I00033	0.191120	0.052169	NA
Terry2012_adults_I00034	0.072625	0.051357	NA
Terry2012_adults_I00035	0.320517	0.053767	NA
Terry2012_adults_I00036	0.288258	0.053090	NA
Terry2012_adults_I00037	0.341459	0.053824	NA
Terry2012_adults_I00038	-0.003778	0.051088	NA
Terry2012_adults_I00039	0.190607	0.052274	NA
Terry2012_adults_I00040	0.291677	0.053165	NA
Terry2012_adults_I00041	0.260175	0.052977	NA
Terry2012_adults_I00042	0.210741	0.052483	NA
Terry2012_adults_I00043	0.300620	0.053294	NA
Terry2012_adults_I00044	0.253967	0.052949	NA
Terry2012_adults_I00045	0.097237	0.051668	NA
Terry2012_adults_I00046	0.259313	0.052730	NA
Terry2012_adults_I00047	0.129987	0.051905	NA
Terry2012_adults_I00048	0.256885	0.052910	NA
Terry2012_adults_I00049	0.036583	0.051175	NA
Ye2009_adults_I00000	0.250856	0.055618	NA
Ye2009_adults_I00001	0.144545	0.054941	NA
Ye2009_adults_I00002	0.119965	0.054672	NA
Ye2009_adults_I00003	0.171083	0.055135	NA
Ye2009_adults_I00004	0.073492	0.054352	NA
Ye2009_adults_I00005	0.181019	0.055236	NA
Ye2009_adults_I00006	0.278906	0.056157	NA
Ye2009_adults_I00007	-0.001166	0.053663	NA
Ye2009_adults_I00008	0.187505	0.055311	NA
Ye2009_adults_I00009	0.029157	0.053970	NA
